Item,WordA,WordB,OverallFreq,RelFreq,Sentence (WordA and WordB),Sentence (WordB and WordA)
1,abandon,fervor,188,0,The violinist played with abandon and fervor even though he had just recovered from an accident.,The violinist played with fervor and abandon even though he had just recovered from an accident.
2,ability,age,12237,0.09528479202,"They questioned his ability and age in the interview, which he thought was unfair.","They questioned his age and ability in the interview, which he thought was unfair."
3,ability,desire,26503,0.4642493303,Maddie had both the ability and desire to play college-level soccer.,Maddie had both the desire and ability to play college-level soccer.
4,ability,strength,20058,0.2068501346,Lisa had the ability and strength to become a professional athlete.,Lisa had the strength and ability to become a professional athlete.
5,accessories,aircraft,495,0,The supplier provided the new military base with accessories and aircraft to ensure its normal operation as soon as possible.,The supplier provided the new military base with aircraft and accessories to ensure its normal operation as soon as possible.
6,acids,tannin,68,1,"In order for the acids and tannin to work out, a red wine should be served at approximately room temperature.","In order for the tannin and acids to work out, a red wine should be served at approximately room temperature."
7,acknowledgment,authentication,0,,The system needs to go through procedures for acknowledgment and authentication before carrying out the order.,The system needs to go through procedures for authentication and acknowledgment before carrying out the order.
8,action,interests,648,0.2978395062,The executive's presentation on the company's action and interests was well received among the employees.,The executive's presentation on the company's interests and action was well received among the employees.
9,action,character,18766,0.3248960887,Riley thought his lack of action and character was too significant to overlook.,Riley thought his lack of character and action was too significant to overlook.
10,actions,feelings,31729,0.2691544013,He was confused because her actions and feelings were not matching up.,He was confused because her feelings and actions were not matching up.
11,adaptations,cycles,52,0,The Pacific Ocean marine life's adaptations and cycles are the focus of Dr. Green's research.,The Pacific Ocean marine life's cycles and adaptations are the focus of Dr. Green's research.
12,addresses,names,273323,0.00702465581,The company collected hundreds of addresses and names for a petition they wanted to pass in June.,The company collected hundreds of names and addresses for a petition they wanted to pass in June.
13,adherent,advocate,69,1,The new foreign policy's chief adherent and advocate gave a passionate speech during the gathering.,The new foreign policy's chief advocate and adherent gave a passionate speech during the gathering.
14,adventure,romance,22627,0.3756132055,The movie had a great balance of adventure and romance which made it a great success.,The movie had a great balance of romance and adventure which made it a great success.
15,Africa,Asia,,,My colleague wanted to visit Africa and Asia this year for a vacation with her husband.,My colleague wanted to visit Asia and Africa this year for a vacation with her husband.
16,age,day,98957,0.004476691896,Amanda said that in this age and day you need to be tech-savy.,Amanda said that in this day and age you need to be tech-savy.
17,agencies,individuals,20024,0.5303136237,Many different agencies and individuals worked together on this project.,Many different individuals and agencies worked together on this project.
18,aggression,hostility,17481,0.3591899777,"Sasha felt aggression and hostility towards her brother, so she tried to avoid him.","Sasha felt hostility and aggression towards her brother, so she tried to avoid him."
19,agreements,contracts,22390,0.291022778,Tony had to deal with many agreements and contracts before he officially started working at the company.,Tony had to deal with many contracts and agreements before he officially started working at the company.
20,aims,backgrounds,130,0.3615384615,Participants with widely varying aims and backgrounds gathered in Rome for the conference.,Participants with widely varying backgrounds and aims gathered in Rome for the conference.
21,aircraft,ships,29331,0.1865262009,The new aircraft and ships ended up being extremely expensive.,The new ships and aircraft ended up being extremely expensive.
22,allegory,expressiveness,0,,This little anecdote was selected mainly for allegory and expressiveness in the opening speech.,This little anecdote was selected mainly for expressiveness and allegory in the opening speech.
23,amateurs,collectors,577,0.5528596187,The fossil hand book for amateurs and collectors alike is one of the best selling books in the store.,The fossil hand book for collectors and amateurs alike is one of the best selling books in the store.
24,amber,froth,0,,There was a flash of amber and froth when the bottle shattered against the side of the car.,There was a flash of froth and amber when the bottle shattered against the side of the car.
25,ambiguities,fears,44,0,"In recent years, ambiguities and fears have been introduced regarding certain actions formerly assumed safe.","In recent years, fears and ambiguities have been introduced regarding certain actions formerly assumed safe."
26,ambiguities,urgencies,0,,Some painters have less interest in the moment's ambiguities and urgencies than in a higher level of truth.,Some painters have less interest in the moment's urgencies and ambiguities than in a higher level of truth.
27,ambition,poverty,354,0.3192090395,The pressures of ambition and poverty burdened Lawrence to a great extent.,The pressures of poverty and ambition burdened Lawrence to a great extent.
28,ambush,death,232,1,"Throughout the targeted cities, fear of ambush and death was spread by the terrorists.","Throughout the targeted cities, fear of death and ambush was spread by the terrorists."
29,ammunition,guns,55799,0.03962436603,The old man kept ammunition and guns locked away in his basement in case of a zombie invasion.,The old man kept guns and ammunition locked away in his basement in case of a zombie invasion.
30,amusement,pride,896,0.4162946429,The moderator of the panel grinned with amusement and pride as the speaker indicated pity for the unfortunate .,The moderator of the panel grinned with pride and amusement as the speaker indicated pity for the unfortunate .
