WordA,WordB,Sentence,reading_times_alpha,reading_times_nonalpha
men,women,The guard instructed the X and Y to form an orderly line.,-45.030396938323975,-45.385239601135254
black,white,Dalmatians found in colors other than X and Y are highly unusual.,-52.61487674713135,-53.847195625305176
day,night,It is harder to tell the difference between X and Y if you can't see.,-48.65870761871338,-47.88968849182129
boys,girls,The teacher separated the X and Y into two groups.,-49.461605072021484,-49.87717533111572
left,right,You should look X and Y before crossing the street.,-52.03905439376831,-52.02470016479492
female,male,The dog breeder has X and Y puppies coming up for sale soon.,-51.60610580444336,-50.85345268249512
father,mother,"Because Stephanie was grounded, her X and Y would not permit her to go out with her friends.",-32.00731348991394,-31.395973443984985
goods,services,The village people would not trade X and Y for money because they don't use currency.,-56.98965311050415,-57.123332023620605
north,south,The family moved X and Y a couple of times before deciding on their current home.,-42.830044746398926,-43.574471950531006
development,research,"The scientist had a lot of X and Y to do, because he had been sick for a long time.",-21.662123680114746,-15.205459952354431
place,time,Finding a X and Y for the meeting was very difficult due to the boss's busy schedule.,-27.115429162979126,-28.86335802078247
death,life,It is hard to tell the difference between X and Y when you are in purgatory.,-46.8671441078186,-47.94389009475708
brothers,sisters,When we were younger my X and Y wanted a Beagle puppy.,-45.1681547164917,-45.38299560546875
husband,wife,Because the X and Y didn't love each other anymore they pondered going their separate ways.,-20.63416552916169,-23.075811080634594
gas,oil,"Sam had just bought a new car and didn't know the difference between X and Y, so she ruined her car.",-13.98804360628128,-14.336812913417816
pepper,salt,The food is in need of X and Y because it's rather bland.,-49.42975425720215,-48.18945503234863
fall,rise,I've gotten particularly ill due to the X and Y of the waves out at sea.,-43.018776655197144,-43.00851631164551
arms,legs,Sandra broke her X and Y because she got into a bike accident.,-48.210983753204346,-48.556771755218506
fruits,vegetables,"Growing up, Paul ate his X and Y everyday in order to be healthy.",-11.296088214963675,-13.572628989815712
arts,sciences,"Carol couldn't decide between X and Y when applying for college majors, so she chose an interdisciplinary route.",-23.66822588443756,-26.619600355625153
gentlemen,ladies,The hostess in the venue lead the X and Y to their respective tables at the wedding banquet.,-24.274162650108337,-21.23040708899498
feelings,thoughts,"Whenever Pat was frustrated, her X and Y got muddled and she couldn't make any decisions.",-19.856519620865583,-19.098993599414825
diagnosis,treatment,Marissa found that her X and Y at the hospital were completely different from what she anticipated.,-43.23070812225342,-49.05164432525635
groups,individuals,Differentiating between X and Y became increasingly difficult as the crowd grew larger.,-57.20056343078613,-57.02291679382324
knowledge,skills,"Although Cassie's X and Y were both strong, her exams were still difficult.",-59.519710063934326,-60.07159233093262
heart,mind,It took a long time for Sarah's X and Y to recover after her husband died.,-59.27151393890381,-59.956743240356445
influence,power,The employee used her X and Y in the company in order to get a raise.,-46.57569646835327,-46.56943368911743
Africa,Asia,My colleague wanted to visit X and Y this year for a vacation with her husband.,-46.975529193878174,-47.23434782028198
addresses,names,The company collected hundreds of X and Y for a petition they wanted to pass in June.,-48.94579076766968,-46.093188762664795
poetry,prose,The professor taught both X and Y in his Renaissance literature class.,-47.960423946380615,-50.08870029449463
forefinger,thumb,The ability to use the X and Y are very important evolutionary traits that differentiate humans from apes.,-13.366336926817894,-12.358569407835603
minerals,vitamins,The human body needs both X and Y in order to continue functioning properly.,-49.18986988067627,-43.44509553909302
fall,winter,In the months during X and Y students tend to feel a bit sadder due to the cold and gloomy weather.,-19.08463463652879,-22.592942930758
light,shadow,It is important to consider both X and Y when creating a still life painting.,-52.94275760650635,-53.580291748046875
honey,milk,Jack's mother gave him X and Y in order to calm him after a nightmare.,-32.90202355384827,-30.802292823791504
nose,throat,Springtime allergies make my X and Y a lot more irritated than the rest of the year.,-16.26869401661679,-16.78897560108453
anger,fear,The abused dog showed both X and Y when animal control came to pick him up.,-60.92988967895508,-60.4552526473999
head,tail,There were white spots on the X and Y of the tiny dog.,-49.226654052734375,-49.082640171051025
novels,stories,The famous author had published many X and Y over the past twenty years.,-44.72664403915405,-45.79897928237915
sunrise,sunset,Andrew loved to be outside at X and Y during the summer months.,-47.79727745056152,-47.597012996673584
sympathy,understanding,Being a therapist requires a lot of X and Y because you often have to deal with people in rough patches.,-24.427552580833435,-23.47357577085495
shoes,socks,"When it rains, your X and Y become more of a nuisance than something to protect your feet.",-14.142214376479387,-13.044302048860118
equipment,personnel,The company had an appropriate amount of X and Y in order to make sure everyone at the event would be safe.,-15.844003999605775,-15.980886587873101
eyes,face,The instructions in the lab ask you cover your X and Y when you operate any machinery.,-31.435102939605713,-30.932289123535156
ink,paper,All you need is X and Y in order to write the next great novel.,-44.26197099685669,-38.647175312042236
muscles,nerves,Allison felt like her X and Y were on fire after running a marathon.,-48.21269226074219,-49.619800090789795
charts,maps,Dr. Morganstern took out his X and Y in order to document where he found the last fossil.,-24.009289829060435,-22.53674816340208
elbows,knees,I hurt my X and Y when I fell off my longboard.,-49.201005935668945,-44.59120512008667
Christmas,Easter,The child decided that X and Y were her favorite holidays.,-45.21202802658081,-47.01011419296265
nature,size,Sometimes it is hard to figure out the X and Y of a problem just from reading about it in the news.,-18.7878239704296,-18.96858769375831
gums,teeth,You should take care of your X and Y in order to have optimal dental hygiene.,-22.131527185440063,-20.71051698923111
chairs,sofas,The hoarder had many X and Y in their living room.,-52.51447105407715,-53.06864833831787
characters,situations,Cheryl considered the X and Y in the novel she was writing.,-47.18843173980713,-47.42595291137695
joy,pleasure,Tucking yourself into bed provides a great sense of X and Y at the end of a long day.,-50.29857635498047,-52.223961353302
Thursday,Tuesday,Don's manager scheduled him for work on X and Y every week for the next month.,-45.76140117645264,-42.54864704608917
barley,oats,Susanne prepared X and Y for breakfast everyday for a week.,-47.79916477203369,-50.055389404296875
beauty,dignity,The girl had both X and Y but was lacking intelligence.,-52.00300645828247,-51.87178039550781
boats,ships,The pier was full of X and Y ready to take off on an adventure.,-46.399404525756836,-47.72523355484009
misery,pain,The people experienced X and Y after they were shipwrecked for months.,-49.84373092651367,-54.19514036178589
bones,skulls,Scientists study the X and Y of long-extinct animal species.,-45.40777826309204,-43.27153444290161
dairy,poultry,You will often find X and Y close to each other in the refrigerated aisle of the grocery store.,-19.05941368319327,-21.941670606844127
